,date,round_nr,throw_nr,dart_nr,prefix,score,value
0,2021-05-10,1,1,1,S,1,1
1,2021-05-10,1,1,2,D,5,10
2,2021-05-10,1,1,3,S,20,20
3,2021-05-10,1,2,1,S,12,12
4,2021-05-10,1,2,2,S,20,20
5,2021-05-10,1,2,3,S,20,20
6,2021-05-10,1,3,1,T,20,60
7,2021-05-10,1,3,2,S,20,20
8,2021-05-10,1,3,3,T,20,60
9,2021-05-10,1,4,1,S,3,3
10,2021-05-10,1,4,2,S,7,7
11,2021-05-10,1,4,3,S,7,7
12,2021-05-10,1,5,1,D,19,38
13,2021-05-10,1,5,2,S,3,3
14,2021-05-10,1,5,3,T,19,57
15,2021-05-10,1,6,1,T,3,9
16,2021-05-10,1,6,2,T,3,9
17,2021-05-10,1,6,3,T,19,57
18,2021-05-10,1,7,1,D,20,40
19,2021-05-10,1,7,2,S,20,20
20,2021-05-10,1,7,3,T,20,60
21,2021-05-10,1,8,1,S,20,20
22,2021-05-10,1,8,2,S,5,5
23,2021-05-10,1,8,3,S,20,20
24,2021-05-10,1,9,1,T,19,57
25,2021-05-10,1,9,2,S,19,19
26,2021-05-10,1,9,3,T,19,57
27,2021-05-10,1,10,1,S,5,5
28,2021-05-10,1,10,2,S,20,20
29,2021-05-10,1,10,3,S,20,20
30,2021-05-10,1,11,1,S,20,20
31,2021-05-10,1,11,2,S,1,1
32,2021-05-10,1,11,3,T,5,15
33,2021-05-10,1,12,1,S,20,20
34,2021-05-10,1,12,2,S,20,20
35,2021-05-10,1,12,3,S,20,20
36,2021-05-10,1,13,1,S,18,18
37,2021-05-10,1,13,2,S,20,20
38,2021-05-10,1,13,3,T,20,60
39,2021-05-10,1,14,1,S,5,5
40,2021-05-10,1,14,2,S,20,20
41,2021-05-10,1,14,3,S,5,5
42,2021-05-10,1,15,1,S,20,20
43,2021-05-10,1,15,2,S,20,20
44,2021-05-10,1,15,3,D,20,40
45,2021-05-10,1,16,1,S,20,20
46,2021-05-10,1,16,2,S,20,20
47,2021-05-10,1,16,3,S,20,20
48,2021-05-10,1,17,1,T,19,57
49,2021-05-10,1,17,2,S,19,19
50,2021-05-10,1,17,3,T,19,57
51,2021-05-10,1,18,1,S,5,5
52,2021-05-10,1,18,2,S,1,1
53,2021-05-10,1,18,3,S,1,1
54,2021-05-10,1,19,1,S,5,5
55,2021-05-10,1,19,2,T,20,60
56,2021-05-10,1,19,3,S,20,20
57,2021-05-10,1,20,1,S,7,7
58,2021-05-10,1,20,2,S,16,16
59,2021-05-10,1,20,3,S,19,19
60,2021-05-10,1,21,1,T,19,57
61,2021-05-10,1,21,2,T,19,57
62,2021-05-10,1,21,3,S,16,16
63,2021-05-10,1,22,1,S,5,5
64,2021-05-10,1,22,2,S,20,20
65,2021-05-10,1,22,3,D,5,10
66,2021-05-10,1,23,1,S,20,20
67,2021-05-10,1,23,2,T,20,60
68,2021-05-10,1,23,3,S,20,20
69,2021-05-10,1,24,1,S,20,20
70,2021-05-10,1,24,2,D,1,2
71,2021-05-10,1,24,3,S,20,20
72,2021-05-10,1,25,1,T,20,60
73,2021-05-10,1,25,2,T,20,60
74,2021-05-10,1,25,3,S,20,20
75,2021-05-10,1,26,1,S,20,20
76,2021-05-10,1,26,2,T,20,60
77,2021-05-10,1,26,3,S,12,12
78,2021-05-10,1,27,1,S,5,5
79,2021-05-10,1,27,2,S,1,1
80,2021-05-10,1,27,3,S,20,20
81,2021-05-10,1,28,1,S,3,3
82,2021-05-10,1,28,2,T,19,57
83,2021-05-10,1,28,3,S,7,7
84,2021-05-10,1,29,1,S,5,5
85,2021-05-10,1,29,2,S,20,20
86,2021-05-10,1,29,3,S,20,20
87,2021-05-10,1,30,1,S,1,1
88,2021-05-10,1,30,2,S,20,20
89,2021-05-10,1,30,3,S,20,20
90,2021-05-10,1,31,1,S,20,20
91,2021-05-10,1,31,2,S,20,20
92,2021-05-10,1,31,3,S,20,20
93,2021-05-10,1,32,1,T,19,57
94,2021-05-10,1,32,2,S,19,19
95,2021-05-10,1,32,3,S,19,19
96,2021-05-10,1,33,1,S,20,20
97,2021-05-10,1,33,2,D,20,40
98,2021-05-10,1,33,3,S,5,5
99,2021-05-10,2,1,1,T,20,60
100,2021-05-10,2,1,2,T,1,3
101,2021-05-10,2,1,3,T,1,3
102,2021-05-10,2,2,1,T,5,15
103,2021-05-10,2,2,2,S,1,1
104,2021-05-10,2,2,3,S,1,1
105,2021-05-10,2,3,1,T,1,3
106,2021-05-10,2,3,2,T,20,60
107,2021-05-10,2,3,3,D,5,10
108,2021-05-10,2,4,1,D,20,40
109,2021-05-10,2,4,2,S,20,20
110,2021-05-10,2,4,3,S,20,20
111,2021-05-10,2,5,1,S,20,20
112,2021-05-10,2,5,2,S,1,1
113,2021-05-10,2,5,3,S,20,20
114,2021-05-10,2,6,1,T,1,3
115,2021-05-10,2,6,2,S,20,20
116,2021-05-10,2,6,3,S,20,20
117,2021-05-10,2,7,1,T,5,15
118,2021-05-10,2,7,2,T,20,60
119,2021-05-10,2,7,3,S,1,1
120,2021-05-10,2,8,1,S,19,19
121,2021-05-10,2,8,2,S,19,19
122,2021-05-10,2,8,3,S,19,19
123,2021-05-10,2,9,1,S,20,20
124,2021-05-10,2,9,2,S,1,1
125,2021-05-10,2,9,3,T,20,60
126,2021-05-10,2,10,1,S,20,20
127,2021-05-10,2,10,2,S,18,18
128,2021-05-10,2,10,3,S,5,5
129,2021-05-10,2,11,1,S,20,20
130,2021-05-10,2,11,2,S,20,20
